TaskID,StationID,Team,Start,End,Duration
90,5,[29],54.3886830706467,56.588060264688124,2.199377194041425
90,5,[29],54.3886830706467,56.588060264688124,2.199377194041425
93,5,[29],56.588060264688124,58.78743745872954,2.1993771940414177
93,5,[29],56.588060264688124,58.78743745872954,2.1993771940414177
94,5,[29],58.78743745872954,60.98681465277096,2.1993771940414177
94,5,[29],58.78743745872954,60.98681465277096,2.1993771940414177
110,4,[81],54.3886830706467,56.402209926522985,2.013526855876286
110,4,[81],54.3886830706467,56.402209926522985,2.013526855876286
123,4,[81],56.402209926522985,58.32819221816571,1.9259822916427254
123,4,[81],56.402209926522985,58.32819221816571,1.9259822916427254
124,4,[81],58.32819221816571,60.254174509808436,1.9259822916427254
124,4,[81],58.32819221816571,60.254174509808436,1.9259822916427254
129,3,[91],54.3886830706467,56.24425487777527,1.8555718071285696
129,3,[91],54.3886830706467,56.24425487777527,1.8555718071285696
130,3,[91],56.24425487777527,58.09982668490384,1.8555718071285696
130,3,[91],56.24425487777527,58.09982668490384,1.8555718071285696
146,3,[91],58.09982668490384,59.95539849203241,1.8555718071285696
146,3,[91],58.09982668490384,59.95539849203241,1.8555718071285696
147,3,[91],59.95539849203241,61.81097029916098,1.8555718071285696
147,3,[91],59.95539849203241,61.81097029916098,1.8555718071285696
148,4,[81],60.254174509808436,62.18015680145116,1.9259822916427254
148,4,[81],60.254174509808436,62.18015680145116,1.9259822916427254
149,5,[29],60.98681465277096,63.03708166414688,2.0502670113759223
149,5,[29],60.98681465277096,63.03708166414688,2.0502670113759223
113,3,[91],61.81097029916098,63.497853723624736,1.6868834244637583
113,3,[91],61.81097029916098,63.497853723624736,1.6868834244637583
114,4,[81],62.18015680145116,63.931049755904056,1.750892954452894
114,4,[81],62.18015680145116,63.931049755904056,1.750892954452894
115,1,[32],58.55487568760318,60.538777023867965,1.9839013362647862
115,1,[32],58.55487568760318,60.538777023867965,1.9839013362647862
116,5,[29],63.03708166414688,64.90096072499922,1.8638790608523408
116,5,[29],63.03708166414688,64.90096072499922,1.8638790608523408
117,3,[91],63.497853723624736,65.18473714808849,1.6868834244637512
117,3,[91],63.497853723624736,65.18473714808849,1.6868834244637512
119,4,[81],63.931049755904056,65.68194271035695,1.750892954452894
119,4,[81],63.931049755904056,65.68194271035695,1.750892954452894
120,1,[38],65.03575265447728,67.07455324181174,2.038800587334464
120,1,[38],65.03575265447728,67.07455324181174,2.038800587334464
121,2,[71],66.41981272921608,68.31946479381219,1.8996520645961112
